Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Memcpy,497740,22579.39,ucr,22544.62,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,100.0
Zstd -1,478264,490.56,ucr,447.25,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,96.09
Zstd -9,478008,106.06,ucr,531.08,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,96.04
LZ4,499693,4083.38,ucr,6882.47,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,100.39
LZ4HC -1,499239,90.89,ucr,4786.01,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,100.3
LZ4HC -9,498831,42.53,ucr,5811.05,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,100.22
Snappy,497767,2879.07,ucr,5121.84,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,100.01
FSE,478205,314.31,ucr,340.89,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,96.08
Huffman,478302,498.4,ucr,485.11,False,/colmajor/uint16/ucr/50words.dat,-1,5,16,f,497740,96.09
Zstd -1,282730,914.27,ucr,6839.7,False,/colmajor/uint16/ucr/Adiac.dat,-1,5,16,f,282712,100.01
Zstd -9,282730,151.76,ucr,8730.53,False,/colmajor/uint16/ucr/Adiac.dat,-1,5,16,f,282712,100.01
LZ4,283822,6000.21,ucr,8453.04,False,/colmajor/uint16/ucr/Adiac.dat,-1,5,16,f,282712,100.39
LZ4HC -1,283740,84.32,ucr,5437.08,False,/colmajor/uint16/ucr/Adiac.dat,-1,5,16,f,282712,100.36
LZ4HC -9,283676,37.8,ucr,5283.35,False,/colmajor/uint16/ucr/Adiac.dat,-1,5,16,f,282712,100.34
Snappy,282730,7374.58,ucr,8876.92,False,/colmajor/uint16/ucr/Adiac.dat,-1,5,16,f,282712,100.01
FSE,282712,1140.38,ucr,7172.34,False,/colmajor/uint16/ucr/Adiac.dat,-1,5,16,f,282712,100.0
Huffman,282736,992.62,ucr,7204.32,False,/colmajor/uint16/ucr/Adiac.dat,-1,5,16,f,282712,100.01
Zstd -1,108034,631.79,ucr,12601.73,False,/colmajor/uint16/ucr/ArrowHead.dat,-1,5,16,f,108022,100.01
Zstd -9,108034,145.76,ucr,15841.33,False,/colmajor/uint16/ucr/ArrowHead.dat,-1,5,16,f,108022,100.01
LZ4,108447,5836.5,ucr,2491.28,False,/colmajor/uint16/ucr/ArrowHead.dat,-1,5,16,f,108022,100.39
LZ4HC -1,107688,69.12,ucr,5981.62,False,/colmajor/uint16/ucr/ArrowHead.dat,-1,5,16,f,108022,99.69
LZ4HC -9,107660,38.15,ucr,4145.6,False,/colmajor/uint16/ucr/ArrowHead.dat,-1,5,16,f,108022,99.66
Snappy,108031,3191.67,ucr,12588.51,False,/colmajor/uint16/ucr/ArrowHead.dat,-1,5,16,f,108022,100.01
FSE,108022,1187.19,ucr,14854.51,False,/colmajor/uint16/ucr/ArrowHead.dat,-1,5,16,f,108022,100.0
Huffman,108030,933.86,ucr,7352.94,False,/colmajor/uint16/ucr/ArrowHead.dat,-1,5,16,f,108022,100.01
Zstd -1,55034,388.63,ucr,408.52,False,/colmajor/uint16/ucr/Beef.dat,-1,5,16,f,56990,96.57
Zstd -9,55034,203.24,ucr,456.64,False,/colmajor/uint16/ucr/Beef.dat,-1,5,16,f,56990,96.57
LZ4,57215,2991.92,ucr,5266.12,False,/colmajor/uint16/ucr/Beef.dat,-1,5,16,f,56990,100.39
LZ4HC -1,57170,70.3,ucr,3958.74,False,/colmajor/uint16/ucr/Beef.dat,-1,5,16,f,56990,100.32
LZ4HC -9,57150,48.96,ucr,7400.34,False,/colmajor/uint16/ucr/Beef.dat,-1,5,16,f,56990,100.28
Snappy,56996,2509.03,ucr,5222.21,False,/colmajor/uint16/ucr/Beef.dat,-1,5,16,f,56990,100.01
FSE,55154,275.4,ucr,342.45,False,/colmajor/uint16/ucr/Beef.dat,-1,5,16,f,56990,96.78
Huffman,55022,406.05,ucr,306.06,False,/colmajor/uint16/ucr/Beef.dat,-1,5,16,f,56990,96.55
Zstd -1,41360,683.81,ucr,3613.56,False,/colmajor/uint16/ucr/BeetleFly.dat,-1,5,16,f,41350,100.02
Zstd -9,41360,109.16,ucr,5475.37,False,/colmajor/uint16/ucr/BeetleFly.dat,-1,5,16,f,41350,100.02
LZ4,41514,1836.55,ucr,3593.78,False,/colmajor/uint16/ucr/BeetleFly.dat,-1,5,16,f,41350,100.4
LZ4HC -1,41485,45.7,ucr,3109.72,False,/colmajor/uint16/ucr/BeetleFly.dat,-1,5,16,f,41350,100.33
LZ4HC -9,41485,36.71,ucr,3036.42,False,/colmajor/uint16/ucr/BeetleFly.dat,-1,5,16,f,41350,100.33
Snappy,41356,1721.98,ucr,1973.46,False,/colmajor/uint16/ucr/BeetleFly.dat,-1,5,16,f,41350,100.01
FSE,41350,617.81,ucr,5125.82,False,/colmajor/uint16/ucr/BeetleFly.dat,-1,5,16,f,41350,100.0
Huffman,41358,613.97,ucr,4949.72,False,/colmajor/uint16/ucr/BeetleFly.dat,-1,5,16,f,41350,100.02
Zstd -1,41360,473.19,ucr,3462.86,False,/colmajor/uint16/ucr/BirdChicken.dat,-1,5,16,f,41350,100.02
Zstd -9,41360,65.85,ucr,3411.15,False,/colmajor/uint16/ucr/BirdChicken.dat,-1,5,16,f,41350,100.02
LZ4,41514,1888.39,ucr,3636.12,False,/colmajor/uint16/ucr/BirdChicken.dat,-1,5,16,f,41350,100.4
LZ4HC -1,41255,46.44,ucr,2523.5,False,/colmajor/uint16/ucr/BirdChicken.dat,-1,5,16,f,41350,99.77
LZ4HC -9,41253,36.02,ucr,2532.15,False,/colmajor/uint16/ucr/BirdChicken.dat,-1,5,16,f,41350,99.77
Snappy,41356,1703.19,ucr,3521.25,False,/colmajor/uint16/ucr/BirdChicken.dat,-1,5,16,f,41350,100.01
FSE,41350,616.34,ucr,4998.19,False,/colmajor/uint16/ucr/BirdChicken.dat,-1,5,16,f,41350,100.0
Huffman,41358,582.18,ucr,2476.34,False,/colmajor/uint16/ucr/BirdChicken.dat,-1,5,16,f,41350,100.02
Zstd -1,139685,523.7,ucr,4710.62,False,/colmajor/uint16/ucr/Car.dat,-1,5,16,f,139670,100.01
Zstd -9,139685,111.86,ucr,5117.8,False,/colmajor/uint16/ucr/Car.dat,-1,5,16,f,139670,100.01
LZ4,140219,3377.67,ucr,12912.08,False,/colmajor/uint16/ucr/Car.dat,-1,5,16,f,139670,100.39
LZ4HC -1,140166,79.24,ucr,4866.55,False,/colmajor/uint16/ucr/Car.dat,-1,5,16,f,139670,100.36
LZ4HC -9,140129,37.0,ucr,5330.71,False,/colmajor/uint16/ucr/Car.dat,-1,5,16,f,139670,100.33
Snappy,139682,2210.32,ucr,4711.1,False,/colmajor/uint16/ucr/Car.dat,-1,5,16,f,139670,100.01
