Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Deltas,Filename,Memlimit,MinIters,Nbits,Order,Original size,Ratio
Memcpy,995480,7170.86,ucr,2898.4,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/50words.dat,1,5,8,f,995480,100.0
FastPFOR,511400,413.46,ucr,908.46,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/50words.dat,1,5,8,f,995480,51.37
FastPFOR,300416,771.09,ucr,1062.49,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/Adiac.dat,1,5,8,f,565424,53.13
FastPFOR,114940,706.8,ucr,854.58,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/ArrowHead.dat,1,5,8,f,216044,53.2
FastPFOR,55172,189.26,ucr,486.74,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/Beef.dat,1,5,8,f,113980,48.4
FastPFOR,44088,467.84,ucr,631.24,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/BeetleFly.dat,1,5,8,f,82700,53.31
FastPFOR,44072,417.68,ucr,643.66,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/BirdChicken.dat,1,5,8,f,82700,53.29
FastPFOR,148560,459.73,ucr,709.05,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/Car.dat,1,5,8,f,279340,53.18
FastPFOR,262864,493.71,ucr,728.61,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/CBF.dat,1,5,8,f,494740,53.13
FastPFOR,1553752,699.68,ucr,1152.44,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/ChlorineConcentration.dat,1,5,8,f,2945968,52.74
FastPFOR,1883012,337.61,ucr,1149.54,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/CinC_ECG_torso.dat,1,5,8,f,9337900,20.17
FastPFOR,34716,706.58,ucr,725.83,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/Coffee.dat,1,5,8,f,65164,53.27
FastPFOR,337660,360.82,ucr,855.49,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/Computers.dat,1,5,8,f,1449980,23.29
FastPFOR,499812,444.77,ucr,964.03,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/Cricket_X.dat,1,5,8,f,951580,52.52
FastPFOR,495592,411.61,ucr,954.14,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/Cricket_Y.dat,1,5,8,f,951580,52.08
FastPFOR,499796,447.27,ucr,959.12,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/Cricket_Z.dat,1,5,8,f,951580,52.52
FastPFOR,239524,483.35,ucr,729.94,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/DiatomSizeReduction.dat,1,5,8,f,450780,53.14
FastPFOR,95924,283.52,ucr,547.15,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/DistalPhalanxOutlineAgeGroup.dat,1,5,8,f,183240,52.35
FastPFOR,155720,300.48,ucr,912.5,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/DistalPhalanxOutlineCorrect.dat,1,5,8,f,297820,52.29
FastPFOR,97044,850.96,ucr,1492.92,True,/colmajor/uint8-as-uint32_deltas_zigzag/ucr/DistalPhalanxTW.dat,1,5,8,f,183240,52.96
