Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,225390,4434.37,ucr,6166.62,/rowmajor/uint16/ucr/DiatomSizeReduction.dat,10,10,16,c,225390,None,100.0
SprintzDelta_16b -1,159620,394.86,ucr,0.0,/rowmajor/uint16/ucr/DiatomSizeReduction.dat,10,10,16,c,225390,None,70.82
SprintzXff_16b -1,141452,198.7,ucr,0.0,/rowmajor/uint16/ucr/DiatomSizeReduction.dat,10,10,16,c,225390,None,62.76
SprintzDelta_Huf_16b -1,158867,166.51,ucr,284.05,/rowmajor/uint16/ucr/DiatomSizeReduction.dat,10,10,16,c,225390,None,70.49
SprintzXff_Huf_16b -1,139642,160.72,ucr,255.98,/rowmajor/uint16/ucr/DiatomSizeReduction.dat,10,10,16,c,225390,None,61.96
SprintzDelta_16b -1,168060,372.06,ucr,0.0,/rowmajor/uint16/ucr/MoteStrain.dat,10,10,16,c,226406,None,74.23
SprintzXff_16b -1,167534,308.57,ucr,0.0,/rowmajor/uint16/ucr/MoteStrain.dat,10,10,16,c,226406,None,74.0
SprintzDelta_Huf_16b -1,167127,172.63,ucr,310.0,/rowmajor/uint16/ucr/MoteStrain.dat,10,10,16,c,226406,None,73.82
SprintzXff_Huf_16b -1,166722,143.67,ucr,242.77,/rowmajor/uint16/ucr/MoteStrain.dat,10,10,16,c,226406,None,73.64
SprintzDelta_16b -1,1199880,507.79,ucr,0.0,/rowmajor/uint16/ucr/wafer.dat,10,10,16,c,2249486,None,53.34
SprintzXff_16b -1,1210706,374.78,ucr,0.0,/rowmajor/uint16/ucr/wafer.dat,10,10,16,c,2249486,None,53.82
SprintzDelta_Huf_16b -1,911888,263.19,ucr,378.97,/rowmajor/uint16/ucr/wafer.dat,10,10,16,c,2249486,None,40.54
SprintzXff_Huf_16b -1,963084,195.17,ucr,340.61,/rowmajor/uint16/ucr/wafer.dat,10,10,16,c,2249486,None,42.81
