Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,112695,492.3,ucr,297.04,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,100.0
Zstd -1,37219,55.28,ucr,85.16,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,33.03
Zstd -9,32603,10.66,ucr,136.23,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,28.93
Snappy,55271,82.2,ucr,97.74,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,49.04
LZO -1,57268,94.76,ucr,124.1,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,50.82
LZO -11,58575,140.08,ucr,120.84,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,51.98
LZO -12,57992,85.73,ucr,80.88,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,51.46
LZO -15,57261,99.25,ucr,81.54,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,50.81
LZO -999,38439,1.11,ucr,173.2,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,34.11
LZ4,59316,145.43,ucr,188.22,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,52.63
Zlib -1,40881,42.17,ucr,92.9,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,36.28
Zlib -9,32031,1.99,ucr,126.79,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,28.42
Huffman,50442,191.62,ucr,157.1,/colmajor/uint8/ucr/DiatomSizeReduction.dat,-1,10,8,f,112695,FIRE,44.76
Zstd -1,69216,61.74,ucr,85.91,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,61.14
Zstd -9,62208,13.19,ucr,125.69,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,54.95
Snappy,86836,78.5,ucr,98.26,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,76.71
LZO -1,86242,84.4,ucr,82.26,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,76.18
LZO -11,89222,89.76,ucr,86.81,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,78.82
LZO -12,87808,79.93,ucr,84.63,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,77.57
LZO -15,86899,86.58,ucr,84.31,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,76.76
LZO -999,69191,3.2,ucr,112.01,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,61.12
LZ4,90996,91.26,ucr,116.23,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,80.38
Zlib -1,67811,26.36,ucr,79.5,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,59.9
Zlib -9,62592,5.32,ucr,82.79,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,55.29
Huffman,78094,192.07,ucr,148.95,/colmajor/uint8/ucr/MoteStrain.dat,-1,10,8,f,113203,FIRE,68.99
Zstd -1,262284,126.84,ucr,185.52,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,23.32
Zstd -9,226437,38.25,ucr,198.32,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,20.13
Snappy,368681,172.31,ucr,211.93,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,32.78
LZO -1,385398,120.11,ucr,186.07,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,34.27
LZO -11,394938,146.7,ucr,187.42,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,35.11
LZO -12,389635,118.98,ucr,160.99,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,34.64
LZO -15,386953,129.33,ucr,182.04,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,34.4
LZO -999,276077,2.59,ucr,166.17,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,24.55
LZ4,372830,151.02,ucr,195.57,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,33.15
Zlib -1,300457,71.93,ucr,143.4,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,26.71
Zlib -9,242826,2.97,ucr,155.5,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,21.59
Huffman,335001,257.39,ucr,205.08,/colmajor/uint8/ucr/wafer.dat,-1,10,8,f,1124743,FIRE,29.78
Zstd -1,109886,92.52,ucr,189.24,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,47.06
Zstd -9,101391,14.41,ucr,128.99,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,43.43
Snappy,166069,101.2,ucr,154.21,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,71.13
LZO -1,164504,112.05,ucr,127.48,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,70.46
LZO -11,170549,92.34,ucr,130.62,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,73.04
LZO -12,167537,113.76,ucr,127.88,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,71.75
LZO -15,165539,114.67,ucr,126.98,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,70.9
LZO -999,125513,2.72,ucr,139.82,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,53.76
LZ4,174137,122.2,ucr,175.77,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,74.58
Zlib -1,120669,39.69,ucr,92.48,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,51.68
Zlib -9,111138,3.86,ucr,108.73,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,47.6
Huffman,129235,170.77,ucr,152.59,/colmajor/uint8/ucr/Worms.dat,-1,10,8,f,233485,FIRE,55.35
Zstd -1,47612,106.82,ucr,140.57,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,62.87
Zstd -9,45109,21.36,ucr,125.98,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,59.57
Snappy,62534,127.71,ucr,117.3,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,82.57
LZO -1,62908,136.25,ucr,111.91,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,83.07
LZO -11,63752,141.38,ucr,113.54,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,84.18
LZO -12,63298,138.15,ucr,112.2,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,83.58
LZO -15,63105,112.29,ucr,111.83,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,83.33
LZO -999,52639,7.27,ucr,113.88,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,69.51
LZ4,62390,131.17,ucr,122.57,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,82.38
Zlib -1,45597,23.89,ucr,84.11,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,60.21
Zlib -9,44601,14.83,ucr,86.76,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,58.89
Huffman,54154,125.13,ucr,94.39,/colmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,-1,10,8,f,75730,FIRE,71.51
Zstd -1,19645,53.54,ucr,83.41,/colmajor/uint8/ucr/Plane.dat,-1,10,8,f,31285,FIRE,62.79
Zstd -9,18462,15.06,ucr,76.22,/colmajor/uint8/ucr/Plane.dat,-1,10,8,f,31285,FIRE,59.01
Snappy,28329,81.1,ucr,106.19,/colmajor/uint8/ucr/Plane.dat,-1,10,8,f,31285,FIRE,90.55
LZO -1,26644,83.86,ucr,82.75,/colmajor/uint8/ucr/Plane.dat,-1,10,8,f,31285,FIRE,85.17
LZO -11,27826,92.23,ucr,90.07,/colmajor/uint8/ucr/Plane.dat,-1,10,8,f,31285,FIRE,88.94
