Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,112695,12162.21,ucr,11338.67,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,10,8,c,112695,None,100.0
SprintzDelta -1,49702,105.66,ucr,442.8,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,10,8,c,112695,None,44.1
SprintzXff -1,46910,235.37,ucr,267.35,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,10,8,c,112695,None,41.63
SprintzDelta_Huf -1,47614,33.01,ucr,158.97,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,10,8,c,112695,None,42.25
SprintzXff_Huf -1,46717,75.51,ucr,141.35,/rowmajor/uint8/ucr/DiatomSizeReduction.dat,1,10,8,c,112695,None,41.45
SprintzDelta -1,57993,251.04,ucr,424.93,/rowmajor/uint8/ucr/MoteStrain.dat,1,10,8,c,113203,None,51.23
SprintzXff -1,58824,246.85,ucr,246.89,/rowmajor/uint8/ucr/MoteStrain.dat,1,10,8,c,113203,None,51.96
SprintzDelta_Huf -1,57680,81.84,ucr,208.25,/rowmajor/uint8/ucr/MoteStrain.dat,1,10,8,c,113203,None,50.95
SprintzXff_Huf -1,58444,83.71,ucr,137.71,/rowmajor/uint8/ucr/MoteStrain.dat,1,10,8,c,113203,None,51.63
SprintzDelta -1,398389,293.49,ucr,266.66,/rowmajor/uint8/ucr/wafer.dat,1,10,8,c,1124743,None,35.42
SprintzXff -1,404087,241.55,ucr,252.97,/rowmajor/uint8/ucr/wafer.dat,1,10,8,c,1124743,None,35.93
SprintzDelta_Huf -1,300188,104.76,ucr,139.48,/rowmajor/uint8/ucr/wafer.dat,1,10,8,c,1124743,None,26.69
SprintzXff_Huf -1,306894,106.41,ucr,140.31,/rowmajor/uint8/ucr/wafer.dat,1,10,8,c,1124743,None,27.29
SprintzDelta -1,104727,319.55,ucr,422.15,/rowmajor/uint8/ucr/Worms.dat,1,10,8,c,233485,None,44.85
SprintzXff -1,105869,262.57,ucr,271.43,/rowmajor/uint8/ucr/Worms.dat,1,10,8,c,233485,None,45.34
SprintzDelta_Huf -1,105380,100.3,ucr,304.88,/rowmajor/uint8/ucr/Worms.dat,1,10,8,c,233485,None,45.13
SprintzXff_Huf -1,106089,66.99,ucr,137.6,/rowmajor/uint8/ucr/Worms.dat,1,10,8,c,233485,None,45.44
SprintzDelta -1,52925,255.42,ucr,240.81,/rowmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,1,10,8,c,75730,None,69.89
SprintzXff -1,48937,182.46,ucr,184.0,/rowmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,1,10,8,c,75730,None,64.62
SprintzDelta_Huf -1,52647,60.49,ucr,136.59,/rowmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,1,10,8,c,75730,None,69.52
SprintzXff_Huf -1,49430,60.79,ucr,230.24,/rowmajor/uint8/ucr/ProximalPhalanxOutlineCorrect.dat,1,10,8,c,75730,None,65.27
SprintzDelta -1,21518,336.18,ucr,436.33,/rowmajor/uint8/ucr/Plane.dat,1,10,8,c,31285,None,68.78
SprintzXff -1,19926,189.09,ucr,256.97,/rowmajor/uint8/ucr/Plane.dat,1,10,8,c,31285,None,63.69
SprintzDelta_Huf -1,21744,79.92,ucr,333.25,/rowmajor/uint8/ucr/Plane.dat,1,10,8,c,31285,None,69.5
SprintzXff_Huf -1,20174,76.25,ucr,255.18,/rowmajor/uint8/ucr/Plane.dat,1,10,8,c,31285,None,64.48
SprintzDelta -1,51893,373.92,ucr,353.7,/rowmajor/uint8/ucr/DistalPhalanxOutlineCorrect.dat,1,10,8,c,74455,None,69.7
SprintzXff -1,49383,253.54,ucr,265.59,/rowmajor/uint8/ucr/DistalPhalanxOutlineCorrect.dat,1,10,8,c,74455,None,66.33
SprintzDelta_Huf -1,52320,80.3,ucr,262.02,/rowmajor/uint8/ucr/DistalPhalanxOutlineCorrect.dat,1,10,8,c,74455,None,70.27
SprintzXff_Huf -1,49929,73.88,ucr,239.87,/rowmajor/uint8/ucr/DistalPhalanxOutlineCorrect.dat,1,10,8,c,74455,None,67.06
SprintzDelta -1,42476,312.03,ucr,427.3,/rowmajor/uint8/ucr/ToeSegmentation1.dat,1,10,8,c,75571,None,56.21
SprintzXff -1,42759,252.58,ucr,267.94,/rowmajor/uint8/ucr/ToeSegmentation1.dat,1,10,8,c,75571,None,56.58
SprintzDelta_Huf -1,43068,92.12,ucr,417.76,/rowmajor/uint8/ucr/ToeSegmentation1.dat,1,10,8,c,75571,None,56.99
SprintzXff_Huf -1,43334,80.68,ucr,244.0,/rowmajor/uint8/ucr/ToeSegmentation1.dat,1,10,8,c,75571,None,57.34
SprintzDelta -1,108600,303.47,ucr,412.48,/rowmajor/uint8/ucr/WordsSynonyms.dat,1,10,8,c,248870,None,43.64
SprintzXff -1,107453,233.95,ucr,270.75,/rowmajor/uint8/ucr/WordsSynonyms.dat,1,10,8,c,248870,None,43.18
SprintzDelta_Huf -1,110287,78.35,ucr,332.76,/rowmajor/uint8/ucr/WordsSynonyms.dat,1,10,8,c,248870,None,44.32
SprintzXff_Huf -1,107752,90.66,ucr,166.14,/rowmajor/uint8/ucr/WordsSynonyms.dat,1,10,8,c,248870,None,43.3
SprintzDelta -1,907140,323.6,ucr,0.0,/rowmajor/uint8/ucr/ElectricDevices.dat,1,10,8,c,1680332,None,53.99
SprintzXff -1,881446,274.1,ucr,265.54,/rowmajor/uint8/ucr/ElectricDevices.dat,1,10,8,c,1680332,None,52.46
SprintzDelta_Huf -1,728147,91.42,ucr,161.8,/rowmajor/uint8/ucr/ElectricDevices.dat,1,10,8,c,1680332,None,43.33
SprintzXff_Huf -1,750853,86.28,ucr,138.69,/rowmajor/uint8/ucr/ElectricDevices.dat,1,10,8,c,1680332,None,44.68
SprintzDelta -1,9369,311.98,ucr,395.92,/rowmajor/uint8/ucr/Coffee.dat,1,10,8,c,16291,None,57.51
SprintzXff -1,9169,243.11,ucr,258.2,/rowmajor/uint8/ucr/Coffee.dat,1,10,8,c,16291,None,56.28
SprintzDelta_Huf -1,9497,57.41,ucr,369.99,/rowmajor/uint8/ucr/Coffee.dat,1,10,8,c,16291,None,58.3
SprintzXff_Huf -1,9297,77.35,ucr,251.18,/rowmajor/uint8/ucr/Coffee.dat,1,10,8,c,16291,None,57.07
SprintzDelta -1,29465,283.43,ucr,422.79,/rowmajor/uint8/ucr/ToeSegmentation2.dat,1,10,8,c,57763,None,51.01
