Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,450780,5137.56,ucr,5675.4,/colmajor/uint16-as-uint32/ucr/DiatomSizeReduction.dat,10,10,16,f,450780,None,100.0
SIMDBP128,227576,4246.15,ucr,6289.13,/colmajor/uint16-as-uint32/ucr/DiatomSizeReduction.dat,10,10,16,f,450780,None,50.48
FastPFOR,227560,877.26,ucr,4033.83,/colmajor/uint16-as-uint32/ucr/DiatomSizeReduction.dat,10,10,16,f,450780,None,50.48
Simple8B,258452,776.7,ucr,1907.69,/colmajor/uint16-as-uint32/ucr/DiatomSizeReduction.dat,10,10,16,f,450780,None,57.33
SIMDBP128,228604,4477.08,ucr,4806.46,/colmajor/uint16-as-uint32/ucr/MoteStrain.dat,10,10,16,f,452812,None,50.49
FastPFOR,228600,994.82,ucr,4421.13,/colmajor/uint16-as-uint32/ucr/MoteStrain.dat,10,10,16,f,452812,None,50.48
Simple8B,270156,677.97,ucr,1547.35,/colmajor/uint16-as-uint32/ucr/MoteStrain.dat,10,10,16,f,452812,None,59.66
SIMDBP128,2141040,4025.14,ucr,6776.07,/colmajor/uint16-as-uint32/ucr/wafer.dat,10,10,16,f,4498972,None,47.59
FastPFOR,2126380,1257.35,ucr,6872.31,/colmajor/uint16-as-uint32/ucr/wafer.dat,10,10,16,f,4498972,None,47.26
Simple8B,2255152,1549.82,ucr,4061.23,/colmajor/uint16-as-uint32/ucr/wafer.dat,10,10,16,f,4498972,None,50.13
SIMDBP128,468088,5317.75,ucr,6363.72,/colmajor/uint16-as-uint32/ucr/Worms.dat,10,10,16,f,933940,None,50.12
FastPFOR,469476,881.13,ucr,4019.33,/colmajor/uint16-as-uint32/ucr/Worms.dat,10,10,16,f,933940,None,50.27
Simple8B,549544,757.72,ucr,2006.48,/colmajor/uint16-as-uint32/ucr/Worms.dat,10,10,16,f,933940,None,58.84
SIMDBP128,152936,4052.01,ucr,4812.3,/colmajor/uint16-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,10,10,16,f,302920,None,50.49
FastPFOR,153000,1017.05,ucr,4017.35,/colmajor/uint16-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,10,10,16,f,302920,None,50.51
Simple8B,172592,717.86,ucr,1804.3,/colmajor/uint16-as-uint32/ucr/ProximalPhalanxOutlineCorrect.dat,10,10,16,f,302920,None,56.98
SIMDBP128,63216,3203.62,ucr,4032.09,/colmajor/uint16-as-uint32/ucr/Plane.dat,10,10,16,f,125140,None,50.52
FastPFOR,63212,866.28,ucr,3485.11,/colmajor/uint16-as-uint32/ucr/Plane.dat,10,10,16,f,125140,None,50.51
