Algorithm,Compressed size,Compression speed,Dataset,Decompression speed,Filename,Memlimit,MinIters,Nbits,Order,Original size,Preprocs,Ratio
Memcpy,225390,23233.69,ucr,25688.4,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,100.0
Zstd -1,225405,649.23,ucr,7084.39,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,100.01
Zstd -9,225405,77.77,ucr,7153.42,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,100.01
Snappy,225405,2094.39,ucr,7065.3,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,100.01
LZO -1,226278,2138.38,ucr,5799.45,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,100.39
LZO -9,226278,2439.5,ucr,4475.66,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,100.39
LZ4,226275,1773.91,ucr,5124.13,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,100.39
Zlib -1,220621,23.67,ucr,181.7,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,97.88
Zlib -9,223075,28.02,ucr,192.36,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,98.97
Huffman,225406,1166.53,ucr,7476.61,/colmajor/uint16/ucr/DiatomSizeReduction.dat,-1,10,16,f,225390,None,100.01
Zstd -1,209695,266.25,ucr,422.52,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,92.62
Zstd -9,208638,43.47,ucr,415.81,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,92.15
Snappy,226399,3074.12,ucr,6571.06,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,100.0
LZO -1,227253,2433.98,ucr,13032.06,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,100.37
LZO -9,227253,3186.39,ucr,11750.36,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,100.37
LZ4,225752,1765.31,ucr,6704.95,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,99.71
Zlib -1,206742,28.36,ucr,165.65,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,91.31
Zlib -9,208511,25.76,ucr,167.83,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,92.1
Huffman,211551,503.29,ucr,455.83,/colmajor/uint16/ucr/MoteStrain.dat,-1,10,16,f,226406,None,93.44
