Filename,FastPFOR,Huffman,LZ4,SIMDBP128,Simple8B,Snappy,SprintzDelta -1,SprintzDelta_Huf -1,SprintzXff -1,SprintzXff_Huf -1,Zlib -1,Zlib -9,Zstd -1,Zstd -9
50words,1.0183299389002036,1.188495364868077,1.3900472616068946,1.0309278350515463,1.0364842454394694,1.4545454545454546,2.4888003982080638,2.735229759299781,2.7517886626307098,3.449465332873405,1.8315018315018314,2.0781379883624274,1.7424638438752396,2.2119000221190004
Adiac,0.9916699722332407,1.0590976488032195,1.372872048325096,0.9920634920634921,0.970873786407767,1.2623074981065388,1.861850679575498,2.474022761009401,2.486325211337643,2.9779630732578917,1.8639328984156571,2.112378538234051,1.6686133822793259,2.1910604732690624
ArrowHead,0.9893153937475268,1.0570824524312896,1.067691650651292,0.9904912836767037,0.9441087613293051,0.9999000099990001,1.9535065442469233,2.112378538234051,2.065688907250568,2.3185717597959656,1.3904338153503892,1.3517166801838334,1.074575542660649,1.266784899923993
Beef,0.9956192751891677,1.16427989288625,1.3755158184319118,0.9976057462090983,0.9538344143456695,1.4336917562724014,2.579979360165119,2.9197080291970803,2.534211860111505,3.009328919650918,1.754693805930865,1.8942981625307824,1.6072002571520412,1.8670649738610903
BeetleFly,0.9877518767285658,0.9996001599360256,1.0417751849150954,0.988533017002768,0.9310986964618249,0.9997000899730081,1.7534630896019638,2.0124773596297043,1.9976028765481422,2.2426553038797934,1.255808112520407,1.232134056185313,0.9995002498750625,1.1499540018399266
BirdChicken,0.9858044164037855,1.0552975939214857,1.172882946281961,0.9873617693522907,0.9194556822361162,0.9997000899730081,2.25022502250225,2.450379808870375,2.319109461966605,2.5947067981318113,1.485884101040119,1.5019525382997898,1.165772907437631,1.4232849416453173
CBF,0.9916699722332407,1.1198208286674132,0.9961151509114453,0.9920634920634921,0.9201324990798675,0.9999000099990001,1.0498687664041995,1.141291942478886,1.0815487778498811,1.160496692584426,1.125112511251125,1.1220825852782765,1.1196954428395476,1.1238480557428636
Car,0.9904912836767037,1.0338054378166028,1.3950892857142856,0.9956192751891677,0.9509319132750096,1.3896609227348529,2.533569799847986,3.0138637733574445,2.6171159382360636,3.2605151613955003,1.9018638265500192,2.1848372296263925,1.523229246001523,2.140869192892314
ChlorineConcentration,0.9920634920634921,1.58052789631737,1.1706860220088973,0.9924573243350535,0.9022013713460845,1.2211503236048358,1.4885382554331645,1.6157699143641946,1.4825796886582654,1.6204829039053639,1.808972503617945,2.0416496529195594,2.1551724137931036,3.179650238473768
CinC_ECG_torso,1.0429703796412182,1.658374792703151,2.5412960609911055,1.0539629005059021,0.9611687812379853,2.8137310073157007,4.382120946538125,6.406149903907751,4.2900042900042905,6.273525721455458,3.5174111853675694,4.63821892393321,3.895597974289053,4.659832246039143
Coffee,0.9850275807722617,1.0452597470471412,1.0725010725010726,0.9912767644726408,0.9556574923547401,1.0058338362502515,1.7711654268508679,1.8691588785046729,1.8968133535660092,2.0751193193608635,1.2618296529968454,1.2592872434202242,1.1294330246216397,1.2074378169524271
Computers,1.3935340022296543,1.976284584980237,4.930966469428007,1.3950892857142856,1.4021312394840157,5.091649694501018,3.4223134839151266,4.672897196261682,3.455425017277125,4.3878894251864855,8.156606851549755,10.741138560687432,7.880220646178094,10.0
Cricket_X,1.1246063877642825,1.3700506918755995,1.1310937676733401,1.0979358805445762,1.0101010101010102,1.179523472517103,1.9661816751867873,2.1547080370609786,1.9338619222587508,2.1253985122210417,1.6072002571520412,1.6835016835016836,1.5119443604475356,1.729804532087874
Cricket_Y,0.9916699722332407,1.3636983499249966,1.1312217194570136,0.9916699722332407,0.8790436005625879,1.1799410029498525,1.9657951641438962,2.162629757785467,1.941747572815534,2.140869192892314,1.608751608751609,1.6753224995811695,1.5028554253080852,1.7214666896195558
Cricket_Z,1.125619090499775,1.3664935774801856,1.1290504685559446,1.1018069634200087,1.0224948875255624,1.1775788977861517,1.9627085377821392,2.1496130696474633,1.9342359767891681,2.1240441801189465,1.6017940092904053,1.6758840288252053,1.505570611261668,1.7247326664367024
DiatomSizeReduction,0.9916699722332407,1.0484378276368211,1.5255530129672006,0.9916699722332407,0.9811616954474097,1.4714537963507948,2.3359028264424198,2.8296547821165814,2.5720164609053495,3.1948881789137378,2.0716801325875283,2.457606291472106,1.7553098121818502,2.5214321734745337
