,Algorithm,Filename,Ratio,Order
1781,FastPFOR,50words,2.017349203147065,f
581,Huffman,50words,1.0406910188365075,f
578,LZ4,50words,0.9961151509114453,f
1780,SIMDBP128,50words,2.0300446609825418,f
1782,Simple8B,50words,1.9193857965451055,f
577,Snappy,50words,0.9999000099990001,f
925,SprintzDelta_16b -1,50words,1.4775413711583922,c
927,SprintzDelta_Huf_16b -1,50words,1.4775413711583922,c
926,SprintzXff_16b -1,50words,1.8162005085361423,c
928,SprintzXff_Huf_16b -1,50words,1.8112660749864156,c
579,Zlib -1,50words,1.051967178624027,f
580,Zlib -9,50words,1.0426441455531228,f
575,Zstd -1,50words,1.0406910188365075,f
576,Zstd -9,50words,1.0412328196584755,f
1709,FastPFOR,Adiac,1.9916351324437362,f
413,Huffman,Adiac,0.9999000099990001,f
410,LZ4,Adiac,0.9961151509114453,f
1708,SIMDBP128,Adiac,1.99203187250996,f
1710,Simple8B,Adiac,1.7433751743375174,f
409,Snappy,Adiac,0.9999000099990001,f
829,SprintzDelta_16b -1,Adiac,1.3022528975126968,c
831,SprintzDelta_Huf_16b -1,Adiac,1.3287270794578792,c
830,SprintzXff_16b -1,Adiac,1.595150741745095,c
832,SprintzXff_Huf_16b -1,Adiac,1.6162922256343948,c
411,Zlib -1,Adiac,1.015744032503809,f
412,Zlib -9,Adiac,1.0081661457808246,f
407,Zstd -1,Adiac,0.9999000099990001,f
408,Zstd -9,Adiac,0.9999000099990001,f
1676,FastPFOR,ArrowHead,1.9880715705765408,f
336,Huffman,ArrowHead,0.9999000099990001,f
333,LZ4,ArrowHead,0.9961151509114453,f
1675,SIMDBP128,ArrowHead,1.9896538002387585,f
1677,Simple8B,ArrowHead,1.699524133242692,f
332,Snappy,ArrowHead,0.9999000099990001,f
785,SprintzDelta_16b -1,ArrowHead,1.3273161667109106,c
787,SprintzDelta_Huf_16b -1,ArrowHead,1.3333333333333333,c
786,SprintzXff_16b -1,ArrowHead,1.3736263736263736,c
788,SprintzXff_Huf_16b -1,ArrowHead,1.3800717637317141,c
334,Zlib -1,ArrowHead,1.0200958890135672,f
335,Zlib -9,ArrowHead,1.0187449062754688,f
330,Zstd -1,ArrowHead,0.9999000099990001,f
331,Zstd -9,ArrowHead,0.9999000099990001,f
1598,FastPFOR,Beef,1.9924287706714485,f
154,Huffman,Beef,1.0357327809425168,f
151,LZ4,Beef,0.9961151509114453,f
1597,SIMDBP128,Beef,1.9932230416583614,f
1599,Simple8B,Beef,1.7406440382941688,f
150,Snappy,Beef,0.9999000099990001,f
681,SprintzDelta_16b -1,Beef,1.4949917775452235,c
683,SprintzDelta_Huf_16b -1,Beef,1.498576352465158,c
682,SprintzXff_16b -1,Beef,1.5835312747426762,c
684,SprintzXff_Huf_16b -1,Beef,1.5941335883947076,c
152,Zlib -1,Beef,1.0497585555322275,f
153,Zlib -9,Beef,1.0410160316468873,f
148,Zstd -1,Beef,1.0355182768975872,f
149,Zstd -9,Beef,1.0355182768975872,f
1691,FastPFOR,BeetleFly,1.98294665873488,f
371,Huffman,BeetleFly,0.9998000399920016,f
368,LZ4,BeetleFly,0.99601593625498,f
1690,SIMDBP128,BeetleFly,1.987281399046105,f
1692,Simple8B,BeetleFly,1.6983695652173911,f
367,Snappy,BeetleFly,0.9999000099990001,f
805,SprintzDelta_16b -1,BeetleFly,1.2761613067891782,c
807,SprintzDelta_Huf_16b -1,BeetleFly,1.2884937508053087,c
806,SprintzXff_16b -1,BeetleFly,1.3622122326658495,c
808,SprintzXff_Huf_16b -1,BeetleFly,1.3749484394335212,c
369,Zlib -1,BeetleFly,1.0040160642570282,f
370,Zlib -9,BeetleFly,1.0032102728731942,f
365,Zstd -1,BeetleFly,0.9998000399920016,f
366,Zstd -9,BeetleFly,0.9998000399920016,f
1655,FastPFOR,BirdChicken,1.9837333862328905,f
287,Huffman,BirdChicken,0.9998000399920016,f
284,LZ4,BirdChicken,0.99601593625498,f
1654,SIMDBP128,BirdChicken,1.987281399046105,f
1656,Simple8B,BirdChicken,1.6528925619834711,f
283,Snappy,BirdChicken,0.9999000099990001,f
757,SprintzDelta_16b -1,BirdChicken,1.3935340022296543,c
759,SprintzDelta_Huf_16b -1,BirdChicken,1.3999720005599887,c
758,SprintzXff_16b -1,BirdChicken,1.4405070584845865,c
760,SprintzXff_Huf_16b -1,BirdChicken,1.4503263234227701,c
285,Zlib -1,BirdChicken,1.0164667615368979,f
286,Zlib -9,BirdChicken,1.0158472165786265,f
281,Zstd -1,BirdChicken,0.9998000399920016,f
282,Zstd -9,BirdChicken,0.9998000399920016,f
1658,FastPFOR,CBF,1.9916351324437362,f
294,Huffman,CBF,1.0208248264597797,f
291,LZ4,CBF,0.9961151509114453,f
1657,SIMDBP128,CBF,1.9916351324437362,f
1659,Simple8B,CBF,1.6963528413910092,f
290,Snappy,CBF,0.9999000099990001,f
761,SprintzDelta_16b -1,CBF,1.0237510237510237,c
763,SprintzDelta_Huf_16b -1,CBF,1.038637307852098,c
762,SprintzXff_16b -1,CBF,1.0388531061707873,c
764,SprintzXff_Huf_16b -1,CBF,1.0500892575868948,c
292,Zlib -1,CBF,1.017915309446254,f
293,Zlib -9,CBF,1.0187449062754688,f
288,Zstd -1,CBF,1.0207206287639072,f
289,Zstd -9,CBF,1.0207206287639072,f
1679,FastPFOR,Car,1.9896538002387585,f
343,Huffman,Car,0.9999000099990001,f
340,LZ4,Car,0.9961151509114453,f
1678,SIMDBP128,Car,1.9956096587507484,f
1680,Simple8B,Car,1.6986580601324954,f
339,Snappy,Car,0.9999000099990001,f
789,SprintzDelta_16b -1,Car,1.4507471347744088,c
791,SprintzDelta_Huf_16b -1,Car,1.457938474996355,c
